データ仕様　ズームレベル11～13（注記）
注記名,source-layer,ftCode,annoCtg,データタイプ
市区町村,label,100,110,点
飛び地,label,100,120,点
郡,label,100,130,点
公称（町字名）,label,100,210,点
集落名称（通称）,label,100,220,点
山名,label,100,311,点
山、岳、峰等,label,100,312,点
湖、沼、池、浦等,label,100,321,点
河川、用水等,label,100,322,点
沢、瀬、淵、瀞、谷、峡、雪渓、河原、州、滝、浜、崎、半島、尻、島等,label,100,323,点
山脈、山地,label,100,333,点
平野、盆地,label,100,334,点
高原、原、森、林、平、砂丘、湿原,label,100,331,点
岩、溶岩、崖、鍾乳洞、温泉、湧水、噴泉、噴火口、峠、坂等,label,100,332,点
海、灘,label,100,344,点
湾、淵、浦、瀬、海峡、瀬戸等,label,100,345,点
半島,label,100,346,点
海岸、浜、洲、干潟,label,100,347,点
岬、鼻、崎、磯、敷等,label,100,343,点
群島、列島、諸島、島の総称等,label,100,351,点
島,label,100,352,点
はえ、岩礁等,label,100,353,点
道路名,label,100,411,点
道路施設名（道の駅、IC、SA等）,label,100,412,点
道路構造物（橋、トンネル等）,label,100,413,点
鉄道路線名,label,100,421,点
鉄道駅名,label,100,422,点
鉄道構造物（橋、トンネル、操車場等）,label,100,423,点
港湾,label,100,431,点
飛行場名,label,100,441,点
構造物名称（高塔、煙突等）,label,100,511,点
ダム,label,100,521,点
堰,label,100,522,点
河川・海岸施設（水門、堤防）,label,100,523,点
土地利用名（演習場、ゴルフ場、遊園地、建設予定地等）,label,100,531,点
史跡名勝天然記念物,label,100,532,点
公園,label,100,534,点
国の機関（合同庁舎、矯正施設、整備局及び自衛隊を除く）,label,100,612,点
文教施設,label,100,673,点
その他の主要・著名な建物,label,100,681,点
